                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93864,                0.81424,                 1.1803,                0.88987,                0.89829,                0.95452,                0.74445,                0.90084,                0.50838,                 1.1215,             0.00053932,             0.00053932,             0.00053932
                      2,                 0.8947,                0.53682,                 1.1227,                0.91875,                 0.9707,                0.98113,                0.77414,                0.84029,                  0.465,                 1.0701,              0.0010914,              0.0010914,              0.0010914
                      3,                0.87774,                0.50605,                 1.0897,                0.93894,                  0.973,                0.98551,                0.77344,                0.83715,                0.45353,                 1.0666,              0.0016398,              0.0016398,              0.0016398
                      4,                0.88708,                0.52844,                 1.0948,                0.93035,                0.94708,                0.97584,                0.77466,                0.83886,                0.44937,                 1.0523,              0.0016505,              0.0016505,              0.0016505
                      5,                0.87825,                0.51579,                 1.0963,                0.90041,                0.82185,                0.92578,                0.71247,                0.89628,                0.69038,                 1.1054,               0.001645,               0.001645,               0.001645
                      6,                0.88437,                0.52859,                 1.1097,                0.96453,                0.94894,                0.97183,                0.77265,                0.85437,                0.43226,                 1.0737,              0.0016395,              0.0016395,              0.0016395
                      7,                0.85781,                0.51775,                 1.0849,                0.96607,                 0.9655,                 0.9856,                0.78273,                0.80621,                0.40285,                 1.0444,               0.001634,               0.001634,               0.001634
                      8,                0.86463,                0.50025,                 1.0773,                0.96562,                0.96956,                 0.9883,                0.77965,                0.83594,                0.41394,                 1.0576,              0.0016285,              0.0016285,              0.0016285
                      9,                0.87912,                0.52382,                 1.0932,                0.96662,                0.95307,                0.98418,                0.75923,                0.90275,                0.42986,                 1.1273,               0.001623,               0.001623,               0.001623
                     10,                0.84669,                0.51642,                 1.0846,                0.94284,                0.93046,                0.97237,                0.75708,                0.82626,                 0.4658,                 1.0496,              0.0016175,              0.0016175,              0.0016175
                     11,                0.85103,                0.50059,                 1.0793,                0.97702,                0.97949,                0.99245,                0.78892,                 0.8313,                 0.3842,                 1.0629,               0.001612,               0.001612,               0.001612
                     12,                0.85423,                0.48874,                 1.0721,                0.95936,                0.93223,                0.98253,                 0.7359,                0.93967,                0.45917,                 1.1189,              0.0016065,              0.0016065,              0.0016065
                     13,                0.78568,                0.45749,                 1.0399,                0.95551,                0.97375,                 0.9888,                0.76202,                0.89691,                0.40843,                 1.1163,               0.001601,               0.001601,               0.001601
                     14,                0.78994,                0.46333,                 1.0487,                0.96305,                0.96289,                0.98386,                0.78034,                0.82335,                0.39403,                 1.0558,              0.0015955,              0.0015955,              0.0015955
                     15,                0.81491,                0.46974,                 1.0642,                 0.9846,                0.97797,                0.99352,                 0.8039,                0.78326,                0.34451,                  1.023,                0.00159,                0.00159,                0.00159
                     16,                0.80333,                0.45834,                 1.0501,                 0.9513,                0.96074,                0.98212,                0.75823,                0.89399,                0.48121,                 1.1056,              0.0015845,              0.0015845,              0.0015845
                     17,                0.78335,                0.46816,                 1.0505,                0.93618,                0.95816,                0.97949,                 0.7745,                0.82292,                0.39753,                 1.0559,               0.001579,               0.001579,               0.001579
                     18,                0.76817,                0.46431,                 1.0326,                0.98001,                0.96879,                0.98284,                0.78102,                0.82549,                0.39567,                 1.0428,              0.0015735,              0.0015735,              0.0015735
                     19,                0.77391,                0.45587,                 1.0564,                0.98717,                0.95855,                0.98562,                0.78364,                0.81114,                0.38695,                 1.0512,               0.001568,               0.001568,               0.001568
                     20,                0.78814,                0.45976,                 1.0565,                0.98271,                0.96092,                0.98446,                0.77343,                0.83369,                0.38473,                 1.0639,              0.0015625,              0.0015625,              0.0015625
                     21,                0.77863,                0.47343,                 1.0463,                0.95977,                0.97346,                0.98829,                0.78683,                0.82396,                0.38089,                 1.0506,               0.001557,               0.001557,               0.001557
                     22,                0.76925,                0.45973,                 1.0357,                 0.9773,                0.97279,                0.99023,                0.80752,                0.75284,                0.35926,                 1.0045,              0.0015515,              0.0015515,              0.0015515
                     23,                0.74669,                0.44358,                  1.019,                0.96968,                0.97742,                0.98887,                0.79876,                0.77036,                0.36883,                 1.0238,               0.001546,               0.001546,               0.001546
                     24,                0.75035,                0.45236,                 1.0281,                0.96277,                0.97097,                0.98878,                0.80481,                0.75804,                 0.3718,                 1.0104,              0.0015405,              0.0015405,              0.0015405
                     25,                0.76316,                0.46198,                 1.0406,                0.98937,                0.97764,                0.99261,                 0.8091,                0.75853,                0.34766,                 1.0125,               0.001535,               0.001535,               0.001535
                     26,                0.72811,                 0.4348,                 1.0261,                 0.9618,                0.97625,                0.98919,                0.79946,                0.77877,                0.36823,                 1.0259,              0.0015295,              0.0015295,              0.0015295
                     27,                0.74542,                0.44107,                 1.0285,                 0.9787,                0.97638,                0.98768,                 0.7959,                0.78709,                0.36652,                 1.0242,               0.001524,               0.001524,               0.001524
                     28,                0.72484,                0.43744,                 1.0172,                0.98351,                0.96882,                0.99218,                0.80204,                0.77035,                0.34737,                 1.0234,              0.0015185,              0.0015185,              0.0015185
                     29,                0.75385,                0.43899,                 1.0278,                 0.9747,                0.97978,                0.98984,                0.80509,                0.75705,                 0.3431,                 1.0102,               0.001513,               0.001513,               0.001513
                     30,                 0.7405,                0.43271,                 1.0185,                0.98045,                0.97483,                0.99055,                0.79231,                0.78197,                0.35004,                 1.0402,              0.0015075,              0.0015075,              0.0015075
                     31,                0.70875,                 0.4183,                 1.0131,                0.97351,                0.97871,                 0.9885,                0.79606,                 0.7913,                0.35942,                 1.0401,               0.001502,               0.001502,               0.001502
