                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5045,                 2.7631,                 1.6736,                0.48291,                0.53972,                0.57125,                0.36456,                 1.1908,                  2.577,                 1.3973,             0.00035007,             0.00035007,             0.00035007
                      2,                 1.2431,                 1.7377,                 1.3627,                0.93926,                0.46291,                0.75276,                0.47944,                 1.1752,                 2.2122,                 1.3534,             0.00071444,             0.00071444,             0.00071444
                      3,                 1.2225,                 1.5043,                 1.3195,                0.94831,                0.14098,                0.38756,                0.18911,                 1.9841,                 3.1579,                 2.1098,              0.0010764,              0.0010764,              0.0010764
                      4,                 1.1763,                 1.3805,                 1.3191,                 0.6942,                0.74573,                0.77523,                0.41185,                 1.4909,                 1.8561,                 1.7007,              0.0014359,              0.0014359,              0.0014359
                      5,                 1.1183,                 1.2349,                 1.2692,                0.81506,                0.85304,                0.91267,                0.61046,                 1.2401,                 1.9006,                 1.5253,               0.001645,               0.001645,               0.001645
                      6,                 1.1534,                 1.2247,                 1.2857,                0.84712,                 0.7796,                0.87293,                0.52719,                 1.3191,                 1.4537,                 1.5027,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.1153,                 1.1062,                 1.2525,                0.52837,                0.72689,                0.58327,                0.36826,                 1.2901,                 2.3881,                 1.4896,               0.001634,               0.001634,               0.001634
                      8,                 1.1021,                 1.0422,                 1.2339,                0.80909,                0.71212,                0.81845,                0.52481,                 1.2004,                 1.4439,                 1.3785,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.1514,                 1.0653,                 1.2694,                0.88483,                0.50581,                0.65056,                0.44199,                 1.0875,                 1.6323,                 1.3077,               0.001623,               0.001623,               0.001623
                     10,                  1.059,                0.96945,                 1.2387,                0.94199,                0.89925,                0.97051,                 0.6812,                 1.0802,                0.98926,                 1.2428,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.0535,                0.88964,                 1.1992,                0.92973,                0.96168,                0.96104,                  0.647,                 1.0859,                0.79489,                   1.29,               0.001612,               0.001612,               0.001612
                     12,                 1.0495,                0.84431,                 1.1985,                0.94684,                0.91669,                0.96424,                0.67152,                  1.072,                0.83165,                 1.2709,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.0414,                0.83104,                 1.1984,                0.96121,                0.98481,                0.99268,                0.71668,                 1.0476,                 0.7117,                 1.2279,               0.001601,               0.001601,               0.001601
